job_title;seniority_level;status;company;location;post_date;headquarter;industry;ownership;company_size;revenue;skills;Revenue_numeric;Revenue Status;AVG_Salary
data scientist;senior;hybrid;company_257;Foster City, CA . Hybrid;6 days ago;Foster City, CA, US;Finance;Public;21,050;Ä383.10B;pytorch, spark, r, python, scikit-learn, machine learning, deep learning, tensorflow;383.1;Reported;156774.5
machine learning engineer;senior;hybrid;company_007;Vancouver, British Columbia, Canada . Hybrid;a month ago;Redwood City, CA, US;Technology;Public;25,940;Ä33.50B;pytorch, machine learning, tensorflow, python;33.5;Reported;61654.5
data scientist;senior;on-site;company_261;Alameda, CA;7 days ago;Lake Bluff, IL, US;Healthcare;Public;103,540;Ä162.59B;spark, r, python, scala, linux, java, hadoop, machine learning;162.59;Reported;79187
data scientist;senior;Not specified;company_183;Berlin, Berlin, Germany;8 days ago;Tallinn, EE;Technology;Private;3,780;Private;pandas, numpy, spark, aws, scikit-learn, python, airflow, machine learning;;Not Reported (Private) ;98643
data scientist;senior;Not specified;company_268;Singapore, Singapore;7 days ago;Singapore, SG;Finance;Public;30,870;Public;pytorch, git, python, machine learning, tensorflow;;Not Reprted (Puplic) ;67044
data scientist;senior;Not specified;company_269;Boston, MA . Newark, DE . Tampa, FL . Kennesaw, GA . Plano, TX + 8 More;a month ago;Charlotte, NC, US;Finance;Public;274,280;Ä277.07B;python, java, sql, hadoop, machine learning;277.07;Reported;187788
data scientist;lead;Not specified;company_270;New York, NY;2 months ago;Woonsocket, RI, US;Healthcare;Public;300,070;Ä121.12B;sql, python;121.12;Reported;197557
data scientist;midlevel;on-site;company_231;San Diego, CA . On-site;5 days ago;Kenilworth, NJ, US;Healthcare;Public;78,720;Ä231.13B;aws, git, r, python, java, machine learning, database, azure, matplotlib;231.13;Reported;148692.5
data scientist;senior;on-site;company_273;Redmond, WA;a month ago;Menlo Park, CA, US;Technology;Public;94,540;Ä230.42B;sql, machine learning, r, python;230.42;Reported;188604.5
data scientist;lead;hybrid;company_276;Hybrid;a month ago;Atlanta, GA, US;Technology;Private;360;Ä3.09B;Not Defined;3.09;Reported;294100
data scientist;Not Specified;on-site;company_279;San Francisco, California . On-site;8 days ago;San Francisco, CA, US;Technology;Private;500;Private;Not Defined;;Not Reported (Private) ;141573.5
machine learning engineer;senior;Not specified;company_106;Pune, Maharashtra, India;2 days ago;K?benhavn, DK;Logistics;Private;38,130;Ä34.32B;spark, aws, powerbi, python, docker, sql, machine learning, gcp, kubernetes, deep learning, azure;34.32;Reported;26760
